ball_x,ball_y,ball_vx,ball_vy,paddle_direction,paddle_y,Ball.RADIUS,Paddle.L,Paddle.STEP,WIDTH,HEIGHT,BORDER,VELOCITY,FPS
338,326,12,9,0,340,10,80,20,800,400,20,12,30
350,335,12,9,0,340,10,80,20,800,400,20,12,30
362,344,12,9,0,340,10,80,20,800,400,20,12,30
374,353,12,9,0,340,10,80,20,800,400,20,12,30
386,362,12,9,0,340,10,80,20,800,400,20,12,30
398,353,12,-9,0,340,10,80,20,800,400,20,12,30
410,344,12,-9,0,340,10,80,20,800,400,20,12,30
422,335,12,-9,0,340,10,80,20,800,400,20,12,30
434,326,12,-9,0,340,10,80,20,800,400,20,12,30
446,317,12,-9,0,340,10,80,20,800,400,20,12,30
458,308,12,-9,0,340,10,80,20,800,400,20,12,30
470,299,12,-9,0,340,10,80,20,800,400,20,12,30
482,290,12,-9,0,340,10,80,20,800,400,20,12,30
494,281,12,-9,0,340,10,80,20,800,400,20,12,30
506,272,12,-9,0,340,10,80,20,800,400,20,12,30
518,263,12,-9,0,340,10,80,20,800,400,20,12,30
530,254,12,-9,0,340,10,80,20,800,400,20,12,30
542,245,12,-9,0,340,10,80,20,800,400,20,12,30
554,236,12,-9,0,340,10,80,20,800,400,20,12,30
566,227,12,-9,0,340,10,80,20,800,400,20,12,30
578,218,12,-9,0,340,10,80,20,800,400,20,12,30
590,209,12,-9,0,340,10,80,20,800,400,20,12,30
602,200,12,-9,0,340,10,80,20,800,400,20,12,30
614,191,12,-9,0,340,10,80,20,800,400,20,12,30
626,182,12,-9,0,340,10,80,20,800,400,20,12,30
638,173,12,-9,0,340,10,80,20,800,400,20,12,30
650,164,12,-9,0,340,10,80,20,800,400,20,12,30
662,155,12,-9,0,340,10,80,20,800,400,20,12,30
674,146,12,-9,0,340,10,80,20,800,400,20,12,30
686,137,12,-9,0,340,10,80,20,800,400,20,12,30
698,128,12,-9,0,340,10,80,20,800,400,20,12,30
710,119,12,-9,0,340,10,80,20,800,400,20,12,30
722,110,12,-9,0,340,10,80,20,800,400,20,12,30
734,101,12,-9,0,340,10,80,20,800,400,20,12,30
746,92,12,-9,0,340,10,80,20,800,400,20,12,30
758,83,12,-9,0,340,10,80,20,800,400,20,12,30
770,74,12,-9,0,340,10,80,20,800,400,20,12,30
782,65,12,-9,0,340,10,80,20,800,400,20,12,30
758,209,-12,9,0,220,10,80,20,800,400,20,12,30
746,218,-12,9,0,240,10,80,20,800,400,20,12,30
734,227,-12,9,0,260,10,80,20,800,400,20,12,30
722,236,-12,9,0,280,10,80,20,800,400,20,12,30
710,245,-12,9,0,300,10,80,20,800,400,20,12,30
698,254,-12,9,0,320,10,80,20,800,400,20,12,30
686,263,-12,9,0,340,10,80,20,800,400,20,12,30
674,272,-12,9,0,340,10,80,20,800,400,20,12,30
662,281,-12,9,0,340,10,80,20,800,400,20,12,30
650,290,-12,9,0,340,10,80,20,800,400,20,12,30
638,299,-12,9,0,340,10,80,20,800,400,20,12,30
626,308,-12,9,0,340,10,80,20,800,400,20,12,30
614,317,-12,9,0,340,10,80,20,800,400,20,12,30
602,326,-12,9,0,340,10,80,20,800,400,20,12,30
590,335,-12,9,0,340,10,80,20,800,400,20,12,30
578,344,-12,9,0,340,10,80,20,800,400,20,12,30
566,353,-12,9,0,340,10,80,20,800,400,20,12,30
554,362,-12,9,0,340,10,80,20,800,400,20,12,30
542,353,-12,-9,0,340,10,80,20,800,400,20,12,30
530,344,-12,-9,0,340,10,80,20,800,400,20,12,30
518,335,-12,-9,0,340,10,80,20,800,400,20,12,30
506,326,-12,-9,0,340,10,80,20,800,400,20,12,30
494,317,-12,-9,0,340,10,80,20,800,400,20,12,30
482,308,-12,-9,0,340,10,80,20,800,400,20,12,30
470,299,-12,-9,0,340,10,80,20,800,400,20,12,30
458,290,-12,-9,0,340,10,80,20,800,400,20,12,30
446,281,-12,-9,0,340,10,80,20,800,400,20,12,30
434,272,-12,-9,0,340,10,80,20,800,400,20,12,30
422,263,-12,-9,0,340,10,80,20,800,400,20,12,30
410,254,-12,-9,0,340,10,80,20,800,400,20,12,30
398,245,-12,-9,0,340,10,80,20,800,400,20,12,30
386,236,-12,-9,0,340,10,80,20,800,400,20,12,30
374,227,-12,-9,0,340,10,80,20,800,400,20,12,30
362,218,-12,-9,0,340,10,80,20,800,400,20,12,30
350,209,-12,-9,0,340,10,80,20,800,400,20,12,30
338,200,-12,-9,0,340,10,80,20,800,400,20,12,30
326,191,-12,-9,0,340,10,80,20,800,400,20,12,30
314,182,-12,-9,0,340,10,80,20,800,400,20,12,30
302,173,-12,-9,0,340,10,80,20,800,400,20,12,30
290,164,-12,-9,0,340,10,80,20,800,400,20,12,30
278,155,-12,-9,0,340,10,80,20,800,400,20,12,30
266,146,-12,-9,0,340,10,80,20,800,400,20,12,30
254,137,-12,-9,0,340,10,80,20,800,400,20,12,30
242,128,-12,-9,0,340,10,80,20,800,400,20,12,30
230,119,-12,-9,0,340,10,80,20,800,400,20,12,30
218,110,-12,-9,0,340,10,80,20,800,400,20,12,30
206,101,-12,-9,0,340,10,80,20,800,400,20,12,30
194,92,-12,-9,0,340,10,80,20,800,400,20,12,30
182,83,-12,-9,0,340,10,80,20,800,400,20,12,30
170,74,-12,-9,0,340,10,80,20,800,400,20,12,30
158,65,-12,-9,0,340,10,80,20,800,400,20,12,30
146,56,-12,-9,0,340,10,80,20,800,400,20,12,30
134,47,-12,-9,0,340,10,80,20,800,400,20,12,30
122,38,-12,-9,0,340,10,80,20,800,400,20,12,30
110,47,-12,9,0,340,10,80,20,800,400,20,12,30
98,56,-12,9,0,340,10,80,20,800,400,20,12,30
86,65,-12,9,0,340,10,80,20,800,400,20,12,30
74,74,-12,9,0,340,10,80,20,800,400,20,12,30
62,83,-12,9,0,340,10,80,20,800,400,20,12,30
50,92,-12,9,0,340,10,80,20,800,400,20,12,30
38,101,-12,9,0,340,10,80,20,800,400,20,12,30
50,110,12,9,0,340,10,80,20,800,400,20,12,30
62,119,12,9,0,340,10,80,20,800,400,20,12,30
74,128,12,9,0,340,10,80,20,800,400,20,12,30
86,137,12,9,0,340,10,80,20,800,400,20,12,30
98,146,12,9,0,340,10,80,20,800,400,20,12,30
110,155,12,9,0,340,10,80,20,800,400,20,12,30
122,164,12,9,0,340,10,80,20,800,400,20,12,30
134,173,12,9,0,340,10,80,20,800,400,20,12,30
146,182,12,9,0,340,10,80,20,800,400,20,12,30
158,191,12,9,0,340,10,80,20,800,400,20,12,30
170,200,12,9,0,340,10,80,20,800,400,20,12,30
182,209,12,9,0,340,10,80,20,800,400,20,12,30
194,218,12,9,0,340,10,80,20,800,400,20,12,30
206,227,12,9,0,340,10,80,20,800,400,20,12,30
218,236,12,9,0,340,10,80,20,800,400,20,12,30
230,245,12,9,0,340,10,80,20,800,400,20,12,30
242,254,12,9,0,340,10,80,20,800,400,20,12,30
254,263,12,9,0,340,10,80,20,800,400,20,12,30
266,272,12,9,0,340,10,80,20,800,400,20,12,30
278,281,12,9,0,340,10,80,20,800,400,20,12,30
290,290,12,9,0,340,10,80,20,800,400,20,12,30
302,299,12,9,0,340,10,80,20,800,400,20,12,30
314,308,12,9,0,340,10,80,20,800,400,20,12,30
326,317,12,9,0,340,10,80,20,800,400,20,12,30
338,326,12,9,0,340,10,80,20,800,400,20,12,30
350,335,12,9,0,340,10,80,20,800,400,20,12,30
362,344,12,9,0,340,10,80,20,800,400,20,12,30
374,353,12,9,0,340,10,80,20,800,400,20,12,30
386,362,12,9,0,340,10,80,20,800,400,20,12,30
398,353,12,-9,0,340,10,80,20,800,400,20,12,30
410,344,12,-9,0,340,10,80,20,800,400,20,12,30
422,335,12,-9,0,340,10,80,20,800,400,20,12,30
434,326,12,-9,0,340,10,80,20,800,400,20,12,30
446,317,12,-9,0,340,10,80,20,800,400,20,12,30
458,308,12,-9,0,340,10,80,20,800,400,20,12,30
470,299,12,-9,0,340,10,80,20,800,400,20,12,30
482,290,12,-9,0,340,10,80,20,800,400,20,12,30
494,281,12,-9,0,340,10,80,20,800,400,20,12,30
506,272,12,-9,0,340,10,80,20,800,400,20,12,30
518,263,12,-9,0,340,10,80,20,800,400,20,12,30
530,254,12,-9,0,340,10,80,20,800,400,20,12,30
542,245,12,-9,0,340,10,80,20,800,400,20,12,30
554,236,12,-9,0,340,10,80,20,800,400,20,12,30
566,227,12,-9,0,340,10,80,20,800,400,20,12,30
578,218,12,-9,0,340,10,80,20,800,400,20,12,30
590,209,12,-9,0,340,10,80,20,800,400,20,12,30
602,200,12,-9,0,340,10,80,20,800,400,20,12,30
614,191,12,-9,0,340,10,80,20,800,400,20,12,30
626,182,12,-9,0,340,10,80,20,800,400,20,12,30
638,173,12,-9,0,340,10,80,20,800,400,20,12,30
650,164,12,-9,0,340,10,80,20,800,400,20,12,30
662,155,12,-9,0,340,10,80,20,800,400,20,12,30
674,146,12,-9,0,340,10,80,20,800,400,20,12,30
686,137,12,-9,0,340,10,80,20,800,400,20,12,30
698,128,12,-9,0,340,10,80,20,800,400,20,12,30
710,119,12,-9,0,340,10,80,20,800,400,20,12,30
722,110,12,-9,0,340,10,80,20,800,400,20,12,30
734,101,12,-9,0,340,10,80,20,800,400,20,12,30
746,92,12,-9,0,340,10,80,20,800,400,20,12,30
758,83,12,-9,0,340,10,80,20,800,400,20,12,30
770,74,12,-9,0,340,10,80,20,800,400,20,12,30
782,65,12,-9,0,340,10,80,20,800,400,20,12,30
758,196,-12,-4,0,220,10,80,20,800,400,20,12,30
746,192,-12,-4,0,240,10,80,20,800,400,20,12,30
734,188,-12,-4,0,260,10,80,20,800,400,20,12,30
722,184,-12,-4,0,280,10,80,20,800,400,20,12,30
710,180,-12,-4,0,300,10,80,20,800,400,20,12,30
698,176,-12,-4,0,320,10,80,20,800,400,20,12,30
686,172,-12,-4,0,340,10,80,20,800,400,20,12,30
674,168,-12,-4,0,340,10,80,20,800,400,20,12,30
662,164,-12,-4,0,340,10,80,20,800,400,20,12,30
650,160,-12,-4,0,340,10,80,20,800,400,20,12,30
638,156,-12,-4,0,340,10,80,20,800,400,20,12,30
626,152,-12,-4,0,340,10,80,20,800,400,20,12,30
614,148,-12,-4,0,340,10,80,20,800,400,20,12,30
602,144,-12,-4,0,340,10,80,20,800,400,20,12,30
590,140,-12,-4,0,340,10,80,20,800,400,20,12,30
578,136,-12,-4,0,340,10,80,20,800,400,20,12,30
566,132,-12,-4,0,340,10,80,20,800,400,20,12,30
554,128,-12,-4,0,340,10,80,20,800,400,20,12,30
542,124,-12,-4,0,340,10,80,20,800,400,20,12,30
530,120,-12,-4,0,340,10,80,20,800,400,20,12,30
518,116,-12,-4,0,340,10,80,20,800,400,20,12,30
506,112,-12,-4,0,340,10,80,20,800,400,20,12,30
494,108,-12,-4,0,340,10,80,20,800,400,20,12,30
482,104,-12,-4,0,340,10,80,20,800,400,20,12,30
470,100,-12,-4,0,340,10,80,20,800,400,20,12,30
458,96,-12,-4,0,340,10,80,20,800,400,20,12,30
446,92,-12,-4,0,340,10,80,20,800,400,20,12,30
434,88,-12,-4,0,340,10,80,20,800,400,20,12,30
422,84,-12,-4,0,340,10,80,20,800,400,20,12,30
410,80,-12,-4,0,340,10,80,20,800,400,20,12,30
398,76,-12,-4,0,340,10,80,20,800,400,20,12,30
386,72,-12,-4,0,340,10,80,20,800,400,20,12,30
374,68,-12,-4,0,340,10,80,20,800,400,20,12,30
362,64,-12,-4,0,340,10,80,20,800,400,20,12,30
350,60,-12,-4,0,340,10,80,20,800,400,20,12,30
338,56,-12,-4,0,340,10,80,20,800,400,20,12,30
326,52,-12,-4,0,340,10,80,20,800,400,20,12,30
314,48,-12,-4,0,340,10,80,20,800,400,20,12,30
302,44,-12,-4,0,340,10,80,20,800,400,20,12,30
290,40,-12,-4,0,340,10,80,20,800,400,20,12,30
278,36,-12,-4,0,340,10,80,20,800,400,20,12,30
266,32,-12,-4,0,340,10,80,20,800,400,20,12,30
254,36,-12,4,0,340,10,80,20,800,400,20,12,30
242,40,-12,4,0,340,10,80,20,800,400,20,12,30
230,44,-12,4,0,340,10,80,20,800,400,20,12,30
218,48,-12,4,0,340,10,80,20,800,400,20,12,30
206,52,-12,4,0,340,10,80,20,800,400,20,12,30
194,56,-12,4,0,340,10,80,20,800,400,20,12,30
182,60,-12,4,0,340,10,80,20,800,400,20,12,30
170,64,-12,4,0,340,10,80,20,800,400,20,12,30
158,68,-12,4,0,340,10,80,20,800,400,20,12,30
146,72,-12,4,0,340,10,80,20,800,400,20,12,30
134,76,-12,4,0,340,10,80,20,800,400,20,12,30
122,80,-12,4,0,340,10,80,20,800,400,20,12,30
110,84,-12,4,0,340,10,80,20,800,400,20,12,30
98,88,-12,4,0,340,10,80,20,800,400,20,12,30
86,92,-12,4,0,340,10,80,20,800,400,20,12,30
74,96,-12,4,0,340,10,80,20,800,400,20,12,30
62,100,-12,4,0,340,10,80,20,800,400,20,12,30
50,104,-12,4,0,340,10,80,20,800,400,20,12,30
38,108,-12,4,0,340,10,80,20,800,400,20,12,30
50,112,12,4,0,340,10,80,20,800,400,20,12,30
62,116,12,4,0,340,10,80,20,800,400,20,12,30
74,120,12,4,0,340,10,80,20,800,400,20,12,30
86,124,12,4,0,340,10,80,20,800,400,20,12,30
98,128,12,4,0,340,10,80,20,800,400,20,12,30
110,132,12,4,0,340,10,80,20,800,400,20,12,30
122,136,12,4,0,340,10,80,20,800,400,20,12,30
134,140,12,4,0,340,10,80,20,800,400,20,12,30
146,144,12,4,0,340,10,80,20,800,400,20,12,30
158,148,12,4,0,340,10,80,20,800,400,20,12,30
170,152,12,4,0,340,10,80,20,800,400,20,12,30
182,156,12,4,0,340,10,80,20,800,400,20,12,30
194,160,12,4,0,340,10,80,20,800,400,20,12,30
206,164,12,4,0,340,10,80,20,800,400,20,12,30
218,168,12,4,0,340,10,80,20,800,400,20,12,30
230,172,12,4,0,340,10,80,20,800,400,20,12,30
242,176,12,4,0,340,10,80,20,800,400,20,12,30
254,180,12,4,0,340,10,80,20,800,400,20,12,30
266,184,12,4,0,340,10,80,20,800,400,20,12,30
278,188,12,4,0,340,10,80,20,800,400,20,12,30
290,192,12,4,0,340,10,80,20,800,400,20,12,30
302,196,12,4,0,340,10,80,20,800,400,20,12,30
314,200,12,4,0,340,10,80,20,800,400,20,12,30
326,204,12,4,0,340,10,80,20,800,400,20,12,30
338,208,12,4,0,340,10,80,20,800,400,20,12,30
350,212,12,4,0,340,10,80,20,800,400,20,12,30
362,216,12,4,0,340,10,80,20,800,400,20,12,30
374,220,12,4,0,340,10,80,20,800,400,20,12,30
386,224,12,4,0,340,10,80,20,800,400,20,12,30
398,228,12,4,0,340,10,80,20,800,400,20,12,30
410,232,12,4,0,340,10,80,20,800,400,20,12,30
422,236,12,4,0,340,10,80,20,800,400,20,12,30
434,240,12,4,0,340,10,80,20,800,400,20,12,30
446,244,12,4,0,340,10,80,20,800,400,20,12,30
458,248,12,4,0,340,10,80,20,800,400,20,12,30
470,252,12,4,0,340,10,80,20,800,400,20,12,30
482,256,12,4,0,340,10,80,20,800,400,20,12,30
494,260,12,4,0,340,10,80,20,800,400,20,12,30
506,264,12,4,0,340,10,80,20,800,400,20,12,30
518,268,12,4,0,340,10,80,20,800,400,20,12,30
530,272,12,4,0,340,10,80,20,800,400,20,12,30
542,276,12,4,0,340,10,80,20,800,400,20,12,30
554,280,12,4,0,340,10,80,20,800,400,20,12,30
566,284,12,4,0,340,10,80,20,800,400,20,12,30
578,288,12,4,0,340,10,80,20,800,400,20,12,30
590,292,12,4,0,340,10,80,20,800,400,20,12,30
602,296,12,4,0,340,10,80,20,800,400,20,12,30
614,300,12,4,0,340,10,80,20,800,400,20,12,30
626,304,12,4,0,340,10,80,20,800,400,20,12,30
638,308,12,4,0,340,10,80,20,800,400,20,12,30
650,312,12,4,0,340,10,80,20,800,400,20,12,30
662,316,12,4,0,340,10,80,20,800,400,20,12,30
674,320,12,4,0,340,10,80,20,800,400,20,12,30
686,324,12,4,0,340,10,80,20,800,400,20,12,30
698,328,12,4,0,340,10,80,20,800,400,20,12,30
710,332,12,4,0,340,10,80,20,800,400,20,12,30
722,336,12,4,0,340,10,80,20,800,400,20,12,30
734,340,12,4,0,340,10,80,20,800,400,20,12,30
746,344,12,4,0,340,10,80,20,800,400,20,12,30
758,348,12,4,0,340,10,80,20,800,400,20,12,30
770,352,12,4,0,340,10,80,20,800,400,20,12,30
758,356,-12,4,0,340,10,80,20,800,400,20,12,30
746,360,-12,4,0,340,10,80,20,800,400,20,12,30
734,364,-12,4,0,340,10,80,20,800,400,20,12,30
722,368,-12,4,0,340,10,80,20,800,400,20,12,30
710,364,-12,-4,0,340,10,80,20,800,400,20,12,30
698,360,-12,-4,0,340,10,80,20,800,400,20,12,30
686,356,-12,-4,0,340,10,80,20,800,400,20,12,30
674,352,-12,-4,0,340,10,80,20,800,400,20,12,30
662,348,-12,-4,0,340,10,80,20,800,400,20,12,30
650,344,-12,-4,0,340,10,80,20,800,400,20,12,30
638,340,-12,-4,0,340,10,80,20,800,400,20,12,30
626,336,-12,-4,0,340,10,80,20,800,400,20,12,30
614,332,-12,-4,0,340,10,80,20,800,400,20,12,30
602,328,-12,-4,0,340,10,80,20,800,400,20,12,30
590,324,-12,-4,0,340,10,80,20,800,400,20,12,30
578,320,-12,-4,0,340,10,80,20,800,400,20,12,30
566,316,-12,-4,0,340,10,80,20,800,400,20,12,30
554,312,-12,-4,0,340,10,80,20,800,400,20,12,30
542,308,-12,-4,0,340,10,80,20,800,400,20,12,30
530,304,-12,-4,0,340,10,80,20,800,400,20,12,30
518,300,-12,-4,0,340,10,80,20,800,400,20,12,30
506,296,-12,-4,0,340,10,80,20,800,400,20,12,30
494,292,-12,-4,0,340,10,80,20,800,400,20,12,30
482,288,-12,-4,0,340,10,80,20,800,400,20,12,30
470,284,-12,-4,0,340,10,80,20,800,400,20,12,30
458,280,-12,-4,0,340,10,80,20,800,400,20,12,30
446,276,-12,-4,0,340,10,80,20,800,400,20,12,30
434,272,-12,-4,0,340,10,80,20,800,400,20,12,30
422,268,-12,-4,0,340,10,80,20,800,400,20,12,30
410,264,-12,-4,0,340,10,80,20,800,400,20,12,30
398,260,-12,-4,0,340,10,80,20,800,400,20,12,30
386,256,-12,-4,0,340,10,80,20,800,400,20,12,30
374,252,-12,-4,0,340,10,80,20,800,400,20,12,30
362,248,-12,-4,0,340,10,80,20,800,400,20,12,30
350,244,-12,-4,0,340,10,80,20,800,400,20,12,30
338,240,-12,-4,0,340,10,80,20,800,400,20,12,30
326,236,-12,-4,0,340,10,80,20,800,400,20,12,30
314,232,-12,-4,0,340,10,80,20,800,400,20,12,30
302,228,-12,-4,0,340,10,80,20,800,400,20,12,30
290,224,-12,-4,0,340,10,80,20,800,400,20,12,30
278,220,-12,-4,0,340,10,80,20,800,400,20,12,30
266,216,-12,-4,0,340,10,80,20,800,400,20,12,30
254,212,-12,-4,0,340,10,80,20,800,400,20,12,30
242,208,-12,-4,0,340,10,80,20,800,400,20,12,30
230,204,-12,-4,0,340,10,80,20,800,400,20,12,30
218,200,-12,-4,0,340,10,80,20,800,400,20,12,30
206,196,-12,-4,0,340,10,80,20,800,400,20,12,30
194,192,-12,-4,0,340,10,80,20,800,400,20,12,30
182,188,-12,-4,0,340,10,80,20,800,400,20,12,30
170,184,-12,-4,0,340,10,80,20,800,400,20,12,30
158,180,-12,-4,0,340,10,80,20,800,400,20,12,30
146,176,-12,-4,0,340,10,80,20,800,400,20,12,30
134,172,-12,-4,0,340,10,80,20,800,400,20,12,30
122,168,-12,-4,0,340,10,80,20,800,400,20,12,30
110,164,-12,-4,0,340,10,80,20,800,400,20,12,30
98,160,-12,-4,0,340,10,80,20,800,400,20,12,30
86,156,-12,-4,0,340,10,80,20,800,400,20,12,30
74,152,-12,-4,0,340,10,80,20,800,400,20,12,30
62,148,-12,-4,0,340,10,80,20,800,400,20,12,30
50,144,-12,-4,0,340,10,80,20,800,400,20,12,30
38,140,-12,-4,0,340,10,80,20,800,400,20,12,30
50,136,12,-4,0,340,10,80,20,800,400,20,12,30
62,132,12,-4,0,340,10,80,20,800,400,20,12,30
74,128,12,-4,0,340,10,80,20,800,400,20,12,30
86,124,12,-4,0,340,10,80,20,800,400,20,12,30
98,120,12,-4,0,340,10,80,20,800,400,20,12,30
110,116,12,-4,0,340,10,80,20,800,400,20,12,30
122,112,12,-4,0,340,10,80,20,800,400,20,12,30
134,108,12,-4,0,340,10,80,20,800,400,20,12,30
146,104,12,-4,0,340,10,80,20,800,400,20,12,30
158,100,12,-4,0,340,10,80,20,800,400,20,12,30
170,96,12,-4,0,340,10,80,20,800,400,20,12,30
182,92,12,-4,0,340,10,80,20,800,400,20,12,30
194,88,12,-4,0,340,10,80,20,800,400,20,12,30
206,84,12,-4,0,340,10,80,20,800,400,20,12,30
218,80,12,-4,0,340,10,80,20,800,400,20,12,30
230,76,12,-4,0,340,10,80,20,800,400,20,12,30
242,72,12,-4,0,340,10,80,20,800,400,20,12,30
254,68,12,-4,0,340,10,80,20,800,400,20,12,30
266,64,12,-4,0,340,10,80,20,800,400,20,12,30
278,60,12,-4,0,340,10,80,20,800,400,20,12,30
290,56,12,-4,0,340,10,80,20,800,400,20,12,30
302,52,12,-4,0,340,10,80,20,800,400,20,12,30
314,48,12,-4,0,340,10,80,20,800,400,20,12,30
326,44,12,-4,0,340,10,80,20,800,400,20,12,30
338,40,12,-4,0,340,10,80,20,800,400,20,12,30
350,36,12,-4,0,340,10,80,20,800,400,20,12,30
362,32,12,-4,0,340,10,80,20,800,400,20,12,30
374,36,12,4,0,340,10,80,20,800,400,20,12,30
386,40,12,4,0,340,10,80,20,800,400,20,12,30
398,44,12,4,0,340,10,80,20,800,400,20,12,30
410,48,12,4,0,340,10,80,20,800,400,20,12,30
422,52,12,4,0,340,10,80,20,800,400,20,12,30
434,56,12,4,0,340,10,80,20,800,400,20,12,30
446,60,12,4,0,340,10,80,20,800,400,20,12,30
458,64,12,4,0,340,10,80,20,800,400,20,12,30
470,68,12,4,0,340,10,80,20,800,400,20,12,30
482,72,12,4,0,340,10,80,20,800,400,20,12,30
494,76,12,4,0,340,10,80,20,800,400,20,12,30
506,80,12,4,0,340,10,80,20,800,400,20,12,30
518,84,12,4,0,340,10,80,20,800,400,20,12,30
530,88,12,4,0,340,10,80,20,800,400,20,12,30
542,92,12,4,0,340,10,80,20,800,400,20,12,30
554,96,12,4,0,340,10,80,20,800,400,20,12,30
566,100,12,4,0,340,10,80,20,800,400,20,12,30
